〆切	(しめきり)
援用	(えんよう)
援助	(えんじょ)
猨	(さる,サル)
園	(その)
園長	(えんちょう)
園児	(えんじ)
園遊会	(えんゆうかい)
園芸	(えんげい)
圓	(えん)
猿	(さる,サル)
猿ぐつわ	(さるぐつわ)
猿ぐつわをかます	(さるぐつわをかます)
猿まね	(さるまね)
猿も木から落ちる	(さるもきからおちる)
猿股	(さるまた)
猿滑	(さるすべり,ひゃくじつこう,しび)
猿滑り	(さるすべり,ひゃくじつこう,しび)
猿回し	(さるまわし)
猿年	(さるどし)
猿轡	(さるぐつわ)
猿轡をかます	(さるぐつわをかます)
猿人	(えんじん)
猿真似	(さるまね)
猿芝居	(さるしばい)
源	(みなもと)
源流	(げんりゅう)
源泉	(げんせん)
源氏	(げんじ)
源氏物語	(げんじものがたり)
縁	(よし)
縁どる	(ふちどる)
縁の下	(えんのした)
縁むすび	(えんむすび)
縁側	(えんがわ)
縁定め	(えんさだめ)
縁故	(えんこ)
縁籍	(えんせき)
縁家	(えんか)
縁結び	(えんむすび)
縁起	(えんぎ,いんえん)
縁切り	(えんきり)
縁取り	(ふちどり,へりとり)
縁取る	(ふちどる)
縁日	(えんにち)
縁台	(えんだい)
縁談	(えんだん)
縁先	(えんさき)
縁語	(えんご)
縁遠い	(えんどおい)
縁者	(えんじゃ)
縁組	(えんぐみ)
縁組み	(えんぐみ)
薗	(その)
遠	(とお)
遠い	(とおい)
遠からず	(とおからず)
遠く	(とおく)
遠ざかる	(とおざかる)
遠ざける	(とおざける)
遠のく	(とおのく)
遠のける	(とおのける)
遠ぼえ	(とおぼえ)
遠まわし	(とおまわし)
遠まわり	(とおまわり)
遠乗り	(とおのり)
遠赤外	(えんせきがい)
遠出	(とおで)
遠大	(えんだい)
遠道	(えんどう,とおみち)
遠地	(えんち)
遠地点	(えんちてん)
遠方	(えんぽう)
遠吠	(とおぼえ)
遠吠え	(とおぼえ)
遠隔	(えんかく)
遠隔操作	(えんかくそうさ)
遠隔地	(えんかくち)
遠隔講義	(えんかくこうぎ)
遠隔教育	(えんかくきょういく)
遠隔視	(えんかくし)
遠隔性	(えんかくせい)
遠古登点	(をことてん,おことてん)
遠国	(えんごく,おんごく)
遠海	(えんかい)
遠回し	(とおまわし)
遠回り	(とおまわり)
遠廻し	(とおまわし)
遠廻り	(とおまわり)
遠火	(とおび)
遠見	(えんけん,とおみ)
遠近	(えんきん,おちこち)
遠近法	(えんきんほう)
遠景	(えんけい)
遠距離	(えんきょり)
遠巻き	(とおまき)
遠来	(えんらい)
遠雷	(えんらい)
遠路	(えんろ)
遠慮	(えんりょ)
遠慮なく	(えんりょなく)
遠慮のない	(えんりょのない)
遠慮の無い	(えんりょのない)
遠慮会釈	(えんりょえしゃく)
遠鳴り	(とおなり)
遠謀	(えんぼう)
遠目	(とおめ)
遠戚	(えんせき)
遠浅	(とおあさ)
遠日点	(えんじつてん,えんにちてん)
遠沈	(えんちん)
遠矢	(とおや)
遠視	(えんし)
遠退く	(とおのく)
遠退ける	(とおのける)
遠望	(えんぼう)
遠心	(えんしん)
遠心分	(えんしんぶん)
遠心分離	(えんしんぶんり)
遠心分離機	(えんしんぶんりき)
遠心機	(えんしんき)
遠心力	(えんしんりょく)
遠眼	(とおめ)
遠眼鏡	(とおめがね,えんがんきょう)
遠洋	(えんよう)
遠洋漁業	(えんようぎょぎょう)
遠因	(えんいん)
遠音	(とおね)
遠泳	(えんえい)
遠縁	(とおえん)
遠征	(えんせい)
遠周り	(とおまわり)
遠足	(えんそく)
遠祖	(えんそ)
苑	(その)
怨しい	(うらめしい)
怨み	(うらみ)
怨み事	(うらみごと)
怨み言	(うらみごと)
怨む	(うらむ)
怨めしい	(うらめしい)
怨敵	(おんてき)
怨恨	(えんこん)
怨霊	(おんりょう)
怨念	(おんねん)
怨声	(えんせい)
院本	(いんぽん)
院長	(いんちょう)
院号	(いんごう)
院生	(いんせい)
院外	(いんがい)
院宣	(いんぜん,いんせん)
院政	(いんせい)
媛	(ひめ)
願	(ねがい)
願い	(ねがい)
願いごと	(ねがいごと)
願い出	(ねがいで)
願い出る	(ねがいでる)
願い求める	(ねがいもとめる)
願い事	(ねがいごと)
願い下げる	(ねがいさげる)
願う	(ねがう)
願かけ	(がんかけ,がんがけ)
願ったりかなったり	(ねがったりかなったり)
願ったり叶ったり	(ねがったりかなったり)
願ほどき	(がんほどき)
願わくは	(ねがわくは)
願わしい	(ねがわしい)
願掛	(がんかけ,がんがけ)
願掛け	(がんかけ,がんがけ)
願解き	(がんほどき)
願酒	(がんしゅ)
願力	(がんりき)
願立て	(がんだて)
願面	(がんめん)
願事	(ねがいごと)
願書	(がんしょ)
願望	(がんぼう,がんもう)
願文	(がんもん)
願意	(がんい)
願主	(がんしゅ)
願状	(がんじょう)
曰	(いわく)
曰く	(いわく)
約	(やく)
約しい	(つましい)
約半分	(やくはんぶん)
約定	(やくじょう)
約款	(やっかん)
約束	(やくそく)
約数	(やくすう)
月	(つき)
月あかり	(つきあかり)
月ぎめ	(つきぎめ,げっきょく)
月とスッポン	(つきとすっぽん)
月とすっぽん	(つきとすっぽん)
月と鼈	(つきとすっぽん)
月のもの	(つきのもの)
月の輪	(つきのわ)
月の物	(つきのもの)
月ロケット	(つきロケット)
月報	(げっぽう)
月別	(つきべつ)
月並	(つきなみ,げつじ)
月並み	(つきなみ,げつじ)
月参り	(つきまいり)
月長石	(げっちょうせき)
月遅れ	(つきおくれ)
月初	(つきはじめ)
月初め	(つきはじめ)
月次	(つきなみ,げつじ)
月代り	(つきがわり)
月代わり	(つきがわり)
月灯かり	(つきあかり)
月額	(げつがく)
月賦	(げっぷ)
月給	(げっきゅう)
月光	(げっこう)
月桂冠	(げっけいかん)
月桂樹	(げっけいじゅ,ゲッケイジュ)
月後れ	(つきおくれ)
月極	(つきぎめ,げっきょく)
月極め	(つきぎめ,げっきょく)
月間	(げっかん)
月見	(つきみ)
月見蕎麦	(つきみそば)
月経	(げっけい)
月経前	(げっけいまえ)
月経周期	(げっけいしゅうき)
月決め	(つきぎめ,げっきょく)
月刊	(げっかん)
月刊誌	(げっかんし)
月例	(げつれい)
月例会	(げつれいかい)
月齢	(げつれい)
月面	(げつめん)
月明	(げつめい)
月明かり	(つきあかり)
月明り	(つきあかり)
月末	(げつまつ,つきずえ)
月頃	(つきごろ)
月日	(つきひ)
月色	(げっしょく)
月食	(げっしょく)
月蝕	(げっしょく)
月始	(つきはじめ)
月始め	(つきはじめ)
月事	(げつじ)
月収	(げっしゅう)
月水金	(げっすいきん)
月替り	(つきがわり)
月替わり	(つきがわり)
月下に	(げっかに)
月下氷人	(げっかひょうじん)
月謝	(げっしゃ)
月曜	(げつよう)
月曜日	(げつようび)
月夜	(つきよ,げつや,つくよ)
月影	(げつえい,つきかげ)
月々	(つきづき)
月月	(つきづき)
岳	(たけ,だけ)
岳父	(がくふ)
悦に入る	(えつにいる)
悦び	(よろこび)
悦ぶ	(よろこぶ)
悦んで	(よろこんで)
悦楽	(えつらく)
越える	(こえる)
越す	(こす)
越冬	(えっとう)
越度	(おちど)
越幾斯	(エキス)
越境	(えっきょう)
越歴	(エレキ)
越歴機	(エレキ)
越南	(えつなん,ベトナム)
越年	(えつねん,おつねん)
越権	(えっけん)
楽	(らく)
楽しい	(たのしい)
楽しげ	(たのしげ)
楽しみ	(たのしみ)
楽しみにする	(たのしみにする)
楽しむ	(たのしむ)
楽む	(たのしむ)
楽才	(がくさい)
楽典	(がくてん)
楽調	(がくちょう)
楽隊	(がくたい)
楽観	(らっかん)
楽観的	(らっかんてき)
楽観論	(らっかんろん)
楽匠	(がくしょう)
楽界	(がっかい)
楽劇	(がくげき)
楽律	(がくりつ)
楽譜	(がくふ)
楽器	(がっき)
楽器演奏者	(がっきえんそうしゃ)
楽曲	(がっきょく)
楽人	(がくじん,うたまいのひと)
楽勝	(らくしょう)
楽聖	(がくせい)
楽師	(がくし)
楽士	(がくし)
楽書	(らくがき)
楽書き	(らくがき)
楽壇	(がくだん)
楽天	(らくてん)
楽天的	(らくてんてき)
楽天家	(らくてんか)
楽天主義	(らくてんしゅぎ)
楽天主義者	(らくてんしゅぎしゃ)
楽団	(がくだん)
楽屋	(がくや)
楽想	(がくそう)
楽員	(がくいん)
楽園	(らくえん)
楽章	(がくしょう)
閲兵	(えっぺい)
閲読	(えつどく)
閲覧	(えつらん)
閲覧室	(えつらんしつ)
閲歴	(えつれき)
樂しい	(たのしい)
樂員	(がくいん)
樂園	(らくえん)
嶽	(たけ,だけ)
躍りかかる	(おどりかかる)
躍り掛かる	(おどりかかる)
躍り掛る	(おどりかかる)
躍り上がる	(おどりあがる)
躍り懸かる	(おどりかかる)
躍り込む	(おどりこむ)
躍り字	(おどりじ)
躍る	(おどる)
躍動	(やくどう)
躍進	(やくしん)
躍起	(やっき)
躍如	(やくじょ)
躍字	(おどりじ)
暈かす	(ぼかす)
暈ける	(ぼける)
暈し	(ぼかし,ボカシ)
暈す	(ぼかす)
云いかた	(いいかた)
云い出す	(いいだす)
云い方	(いいかた)
云い聞かす	(いいきかす)
云う	(いう,ゆう)
云える	(いえる)
云わば	(いわば)
云々	(うんぬん)
云云	(うんぬん)
伝	(つて,ツテ)
伝い	(づたい)
伝う	(つたう)
伝え	(つたえ)
伝える	(つたえる)
伝え話	(つたえばなし)
伝え聞く	(つたえきく)
伝わる	(つたわる)
伝搬	(でんぱん)
伝播	(でんぱ,でんぱん)
伝唱	(でんしょう)
伝承	(でんしょう)
伝承文学	(でんしょうぶんがく)
伝達	(でんたつ)
伝単	(でんたん)
伝導	(でんどう)
伝導度	(でんどうど)
伝導率	(でんどうりつ)
伝導性	(でんどうせい)
伝道	(でんどう)
伝道船	(でんどうせん)
伝道集会	(でんどうしゅうかい)
伝道師	(でんどうし)
伝道者	(でんどうしゃ)
伝法	(でんぽう,でんぼう)
伝法肌	(でんぼうはだ)
伝記	(でんき)
伝記文学	(でんきぶんがく)
伝記物	(でんきもの)
伝記作者	(でんきさくしゃ)
伝家	(でんか)
伝来	(でんらい)
伝令	(でんれい)
伝令者	(でんれいしゃ)
伝馬	(てんま)
伝馬船	(てんません,てんまぶね)
伝票	(でんぴょう)
伝奇	(でんき)
伝奇的	(でんきてき)
伝奇小説	(でんきしょうせつ)
伝染	(でんせん)
伝染病	(でんせんびょう)
伝染毒	(でんせんどく)
伝声管	(でんせいかん)
伝声器	(でんせいき)
伝世	(でんせい)
伝手	(つて,ツテ)
伝授	(でんじゅ)
伝書バト	(でんしょばと)
伝書ばと	(でんしょばと)
伝書鳩	(でんしょばと)
伝説	(でんせつ)
伝送	(でんそう)
伝送エラー	(でんそうエラー)
伝送ブロック終結	(でんそうブロックしゅうけつ)
伝送路	(でんそうろ)
伝送速度	(でんそうそくど)
伝送先	(でんそうさき)
伝送制御拡張	(でんそうせいぎょかくちょう)
伝送終了	(でんそうしゅうりょう)
伝誦	(でんしょう)
伝統	(でんとう)
伝統的	(でんとうてき)
伝聞	(でんぶん)
伝習	(でんしゅう)
伝線	(でんせん)
伝言	(でんごん)
伝言板	(でんごんばん)
伝音器	(でんおんき)
伝奏	(てんそう,でんそう)
芸大	(げいだい)
芸当	(げいとう)
芸風	(げいふう)
芸名	(げいめい)
芸能	(げいのう)
芸能界	(げいのうかい)
芸能人	(げいのうじん)
芸人	(げいにん)
芸術	(げいじゅつ)
芸術的	(げいじゅつてき)
芸術家	(げいじゅつか)
芸術作品	(げいじゅつさくひん)
芸者	(げいしゃ)
雲	(くも)
雲ゆき	(くもゆき)
雲鬢花顔	(うんびんかがん)
雲丹	(うに,ウニ)
雲高	(うんこう)
雲海	(うんかい)
雲合い	(くもあい)
雲間	(くもま)
雲脚	(くもあし,うんきゃく)
雲量	(うんりょう)
雲母	(うんも,うんぼ,きらら)
雲泥	(うんでい)
雲泥の差	(うんでいのさ)
雲泥之差	(うんでいのさ)
雲雀	(ひばり,こくてんし,こうてんし)
雲散霧消	(うんさんむしょう)
雲上	(うんじょう,うんしょう)
雲水	(うんすい,くもみず)
雲呑	(ワンタン)
雲霧	(うんむ,くもきり)
雲霞	(うんか,くもかすみ)
雲行き	(くもゆき)
雲形	(うんけい,くもがた)
雲隠れ	(くもがくれ)
雲影	(うんえい)
雲脂	(ふけ,フケ)
雲助	(くもすけ)
雲足	(くもあし,うんきゃく)
允許	(いんきょ)
隕石	(いんせき)
隕星	(いんせい)
運	(うん)
運がいい	(うんがいい,うんがよい)
運がよい	(うんがいい,うんがよい)
運が悪い	(うんがわるい)
運が良い	(うんがいい,うんがよい)
運びこむ	(はこびこむ)
運びだす	(はこびだす)
運び出す	(はこびだす)
運び込む	(はこびこむ)
運ぶ	(はこぶ)
運よく	(うんよく)
運搬	(うんぱん)
運筆	(うんぴつ)
運動	(うんどう)
運動不足	(うんどうぶそく)
運動場	(うんどうじょう,うんどうば)
運動費	(うんどうひ)
運動会	(うんどうかい)
運動力	(うんどうりょく)
運動量	(うんどうりょう)
運動神経	(うんどうしんけい)
運動員	(うんどういん)
運悪く	(うんわるく)
運航	(うんこう)
運河	(うんが)
運良く	(うんよく)
運賃	(うんちん)
運命	(うんめい,さだめ)
運命論	(うんめいろん)
運気	(うんき)
運上	(うんじょう)
運勢	(うんせい)
運輸	(うんゆ)
運輸大臣	(うんゆだいじん)
運輸省	(うんゆしょう)
運輸相	(うんゆしょう)
運送	(うんそう)
運送会社	(うんそうがいしゃ)
運送屋	(うんそうや)
運算	(うんざん)
運行	(うんこう)
運休	(うんきゅう)
運営	(うんえい)
運営者	(うんえいしゃ)
運用	(うんよう)
運針	(うんしん)
運転	(うんてん)
運転免許	(うんてんめんきょ)
運転士	(うんてんし)
運転手	(うんてんしゅ)
運転停止	(うんてんていし)
運転席	(うんてんせき)
運転者	(うんてんしゃ)
運転資金	(うんてんしきん)
熨	(のし,ぬし)
熨斗	(のし,ぬし)
熨斗を付ける	(のしをつける)
熨斗袋	(のしぶくろ)
熨斗紙	(のしがみ)
薀蓄	(うんちく,ウンチク)
蘊蓄	(うんちく,ウンチク)
韻	(いん)
韻脚	(いんきゃく)
韻律	(いんりつ)
韻事	(いんじ)
韻文	(いんぶん)
韻語	(いんご)
韻字	(いんじ)
魳	(かます,カマス)
雑	(ざつ)
雑える	(まじえる,まじうる)
雑ざる	(まざる)
雑じる	(まじる)
雑ぜる	(まぜる)
雑ぱく	(ざっぱく)
雑報	(ざっぽう)
雑兵	(ぞうひょう,ざっぴょう)
雑駁	(ざっぱく)
雑布	(ぞうきん)
雑草	(ざっそう)
雑炊	(ぞうすい)
雑沓	(ざっとう)
雑多	(ざった)
雑費	(ざっぴ)
雑感	(ざっかん)
雑喉	(ざこ,じゃこ,ざっこ)
雑貨	(ざっか)
雑記	(ざっき)
雑記帳	(ざっきちょう)
雑巾	(ぞうきん)
雑居	(ざっきょ)
雑居ビル	(ざっきょビル)
雑菌	(ざっきん)
雑木	(ぞうき,ざつぼく,ぞうぼく)
雑木林	(ぞうきばやし,ざつぼくりん)
雑鬧	(ざっとう)
雑念	(ざつねん)
雑品	(ざっぴん)
雑然	(ざつぜん)
雑事	(ざつじ)
雑踏	(ざっとう)
雑談	(ざつだん)
雑文	(ざつぶん)
雑学	(ざつがく)
雑言	(ぞうごん,ぞうげん)
雑役	(ざつえき)
雑音	(ざつおん)
雑用	(ざつよう,ぞうよう)
雑魚	(ざこ,じゃこ,ざっこ)
雑誌	(ざっし)
雑種	(ざっしゅ)
雑煮	(ぞうに)
雑作	(ぞうさく)
災い	(わざわい)
災厄	(さいやく)
災害	(さいがい)
災禍	(さいか)
災難	(さいなん)
災難に遭う	(さいなんにあう)
哉	(かな)
栽培	(さいばい)
栽培所	(さいばいじょ)
栽培種	(さいばいしゅ)
仔虫	(しちゅう)
仔馬	(こうま)
仔猫	(こねこ,コネコ)
仔牛	(こうし,こうじ)
仔犬	(こいぬ)
仔細	(しさい)
仔羊	(こひつじ)
宰る	(ほふる,はふる,ほぶる)
宰相	(さいしょう)
載せる	(のせる)
載っかる	(のっかる)
載貨吃水線	(さいかきっすいせん)
載貨喫水線	(さいかきっすいせん)
載貨屯数	(さいかとんすう)
載積	(さいせき)
載録	(さいろく)
載炭	(さいたん)
再	(さい)
再び	(ふたたび)
再び導入	(ふたたびどうにゅう)
再び取る	(ふたたびとる)
再案	(さいあん)
再拝	(さいはい)
再敗	(さいはい)
再版	(さいはん)
再保険	(さいほけん)
再編	(さいへん)
再編成	(さいへんせい)
再変	(さいへん)
再測量	(さいそくりょう)
再出	(さいしゅつ)
再出発	(さいしゅっぱつ)
再処理	(さいしょり)
再創造	(さいそうぞう)
再従弟	(さいじゅうてい)
再従兄	(さいじゅうけい)
再誕	(さいたん)
再調査	(さいちょうさ)
再調整	(さいちょうせい)
再定義	(さいていぎ)
再訂	(さいてい)
再訂版	(さいていばん)
再読	(さいどく)
再度	(さいど)
再度確認	(さいどかくにん)
再度協議	(さいどきょうぎ)
再発	(さいはつ)
再発行	(さいはっこう)
再発足	(さいほっそく)
再犯	(さいはん)
再犯者	(さいはんしゃ)
再販	(さいはん)
再販業者	(さいはんぎょうしゃ)
再放送	(さいほうそう)
再分配	(さいぶんぱい)
再封鎖	(さいふうさ)
再服役	(さいふくえき)
再浮上	(さいふじょう)
再感染	(さいかんせん)
再告	(さいこく)
再割引	(さいわりびき)
再工事	(さいこうじ)
再構成	(さいこうせい)
再構築	(さいこうちく)
再帰	(さいき)
再帰代名詞	(さいきだいめいし)
再帰熱	(さいきねつ)
再会	(さいかい)
再婚	(さいこん)
再嫁	(さいか)
再検査	(さいけんさ)
再検討	(さいけんとう)
再建	(さいけん)
再建築	(さいけんちく)
再降臨	(さいこうりん)
再交付	(さいこうふ)
再教育	(さいきょういく)
再浸礼	(さいしんれい)
再禁止	(さいきんし)
再挙	(さいきょ)
再軍備	(さいぐんび)
再開	(さいかい)
再刊	(さいかん)
再抗弁	(さいこうべん)
再考	(さいこう)
再考慮	(さいこうりょ)
再来	(さいらい)
再来年	(さらいねん)
再来月	(さらいげつ)
再来週	(さらいしゅう)
再來	(さいらい)
再來週	(さらいしゅう)
再臨	(さいりん)
再臨派	(さいりんは)
再録	(さいろく)
再配分	(さいはいぶん)
再配置	(さいはいち)
再評価	(さいひょうか)
再起	(さいき)
再起動	(さいきどう)
再勤	(さいきん)
再確認	(さいかくにん)
再燃	(さいねん)
再任	(さいにん)
再入国	(さいにゅうこく)
再入国許可	(さいにゅうこくきょか)
再入国許可書	(さいにゅうこくきょかしょ)
再入学	(さいにゅうがく)
再三	(さいさん)
再三再四	(さいさんさいし)
再上映	(さいじょうえい)
再設	(さいせつ)
再審	(さいしん)
再審査	(さいしんさ)
再生	(さいせい)
再生産	(さいせいさん)
再生法	(さいせいほう)
再生利用	(さいせいりよう)
再生品	(さいせいひん)
再勝	(さいしょう)
再試合	(さいしあい)
再試行	(さいしこう)
再試験	(さいしけん)
再受浸	(さいじゅしん)
再輸出	(さいゆしゅつ)
再輸入	(さいゆにゅう)
再説	(さいせつ)
再思	(さいし)
再送	(さいそう)
再提案	(さいていあん)
再投稿	(さいとうこう)
再投票	(さいとうひょう)
再投資	(さいとうし)
再武装	(さいぶそう)
再洗礼	(さいせんれい)
再下付	(さいかふ)
再現	(さいげん)
再校	(さいこう)
再協議	(さいきょうぎ)
再興	(さいこう)
再選	(さいせん)
再選挙	(さいせんきょ)
再循環	(さいじゅんかん)
再尋問	(さいじんもん)
再演	(さいえん)
再議	(さいぎ)
再吟味	(さいぎんみ)
再遊	(さいゆう)
再縁	(さいえん)
再々	(さいさい)
再再	(さいさい)
再戦	(さいせん)
再征	(さいせい)
再製	(さいせい)
再製品	(さいせいひん)
再注	(さいちゅう)
再注文	(さいちゅうもん)
再鋳	(さいちゅう)
再転	(さいてん)
再組織	(さいそしき)
在りきたり	(ありきたり)
在りのまま	(ありのまま)
在り方	(ありかた)
在り付く	(ありつく)
在り来たり	(ありきたり)
在り来り	(ありきたり)
在る	(ある)
在韓米軍	(ざいかんべいぐん)
在荷	(ざいか)
在籍	(ざいせき)
在庫	(ざいこ)
在庫品	(ざいこひん)
在来	(ざいらい)
在留	(ざいりゅう)
在留邦人	(ざいりゅうほうじん)
在留期間更新許可	(ざいりゅうきかんこうしんきょか)
在米邦人	(ざいべいほうじん)
在任	(ざいにん)
在日	(ざいにち)
在日米軍	(ざいにちべいぐん)
在日米陸軍	(ざいにちべいりくぐん)
在所	(ざいしょ)
在外	(ざいがい)
在位	(ざいい)
在郷	(ざいごう,ざいきょう)
在校生	(ざいこうせい)
在学	(ざいがく)
在宅	(ざいたく)
在宅勤務	(ざいたくきんむ)
在職	(ざいしょく)
在住	(ざいじゅう)
縡	(こと)
縡切れる	(こときれる)
賛える	(たたえる)
賛成	(さんせい)
賛辞	(さんじ)
賛否	(さんぴ)
賛否両論	(さんぴりょうろん)
賛歌	(さんか)
賛美	(さんび)
賛同	(さんどう)
賛助	(さんじょ)
暫く	(しばらく)
暫くすると	(しばらくすると)
暫らく	(しばらく)
暫定	(ざんてい)
暫定協定	(ざんていきょうてい)
暫定政府	(ざんていせいふ)
暫時	(ざんじ)
讃える	(たたえる)
讃辞	(さんじ)
讃歌	(さんか)
讃美	(さんび)
讃賞	(さんしょう)
讚える	(たたえる)
讚辞	(さんじ)
讚歌	(さんか)
讚美	(さんび)
葬る	(ほうむる,ほうぶる)
葬列	(そうれつ)
葬式	(そうしき)
葬送	(そうそう)
葬送曲	(そうそうきょく)
葬送行進曲	(そうそうこうしんきょく)
葬儀	(そうぎ)
葬儀式	(そうぎしき)
臓	(ぞう)
臓器	(ぞうき)
臓器移植	(ぞうきいしょく)
臓物	(ぞうもつ)
遭う	(あう)
遭わせる	(あわせる)
遭難	(そうなん)
遭難信号	(そうなんしんごう)
遭難者	(そうなんしゃ)
遭遇	(そうぐう)
糟	(かす,カス)
鑿	(のみ,ノミ)
鑿井	(さくせい)
鑿岩機	(さくがんき)
早い	(はやい,はえー,はっやい)
早おき	(はやおき)
早がってん	(はやがてん,はやがってん)
早がてん	(はやがてん,はやがってん)
早く	(はやく)
早さ	(はやさ)
早とちり	(はやとちり)
早まる	(はやまる)
早めに	(はやめに)
早める	(はやめる)
早わざ	(はやわざ)
早朝	(そうちょう)
早稲	(わせ)
早耳	(はやみみ)
早発ち	(はやだち)
早合点	(はやがてん,はやがってん)
早急	(そうきゅう,さっきゅう)
早技	(はやわざ)
早計	(そうけい)
早見	(はやみ)
早口	(はやくち,はやぐち)
早瀬	(はやせ)
早立ち	(はやだち)
早漏	(そうろう)
早目に	(はやめに)
早期	(そうき)
早起	(はやおき)
早起き	(はやおき)
早生	(わせ)
早手	(しっぷう,はやて)
早熟	(そうじゅく)
早送り	(はやおくり)
早速	(さっそく)
早退	(そうたい)
早退け	(はやびけ)
早晩	(そうばん)
早暁	(そうぎょう)
早業	(はやわざ)
早引	(はやびけ)
早引け	(はやびけ)
早月	(さつき,サツキ)
早々	(そうそう)
早早	(そうそう)
早足	(はやあし,そくほ)
蚤	(のみ,ノミ)
棗	(なつめ,ナツメ)
棗椰子	(なつめやし,ナツメヤシ)
藻	(も)
藻抜け	(もぬけ)
藻草	(もぐさ)
藻類	(そうるい)
藻掻く	(もがく)
藻搔く	(もがく)
繰りかえし	(くりかえし)
繰りかえす	(くりかえす)
繰り出す	(くりだす)
繰り返し	(くりかえし)
繰り返し符号	(くりかえしふごう)
繰り返す	(くりかえす)
繰り広げる	(くりひろげる)
繰り合わす	(くりあわす)
繰り拡げる	(くりひろげる)
繰り上げる	(くりあげる)
繰り下げる	(くりさげる)
繰り形	(くりかた,くりがた)
繰り延べ	(くりのべ)
繰り延べる	(くりのべる)
繰り言	(くりごと)
繰り込み	(くりこみ)
繰り込み群	(くりこみぐん)
繰り越	(くりこし)
繰り越し	(くりこし)
繰り越す	(くりこす)
繰る	(くる)
繰出す	(くりだす)
繰返し	(くりかえし)
繰返し符号	(くりかえしふごう)
繰返す	(くりかえす)
繰広げる	(くりひろげる)
繰合わす	(くりあわす)
繰拡げる	(くりひろげる)
繰上げる	(くりあげる)
繰下げる	(くりさげる)
繰形	(くりかた,くりがた)
繰延べ	(くりのべ)
繰延べる	(くりのべる)
繰言	(くりごと)
繰込み	(くりこみ)
繰込み群	(くりこみぐん)
繰越	(くりこし)
繰越し	(くりこし)
繰越す	(くりこす)
造り	(つくり)
造りつけ	(つくりつけ)
造り出す	(つくりだす)
造り付け	(つくりつけ)
造り酒屋	(つくりざかや)
造り上げる	(つくりあげる)
造り手	(つくりて)
造り替える	(つくりかえる)
造り物	(つくりもの,つくりもん)
造る	(つくる)
造兵廠	(ぞうへいしょう)
造船	(ぞうせん)
造酒屋	(つくりざかや)
造林	(ぞうりん)
造形	(ぞうけい)
造形美術	(ぞうけいびじゅつ)
造型	(ぞうけい)
造語	(ぞうご)
造園術	(ぞうえんじゅつ)
造作	(ぞうさく)
造作ない	(ぞうさない)
造作無い	(ぞうさない)
慥か	(たしか)
慥かに	(たしかに)
慥かめる	(たしかめる)
噪音	(そうおん)
燥ぐ	(はしゃぐ)
躁うつ	(そううつ)
躁うつ病	(そううつびょう)
躁病	(そうびょう)
躁欝病	(そううつびょう)
躁鬱	(そううつ)
躁鬱病	(そううつびょう)
竈	(かま)
択ぶ	(えらぶ)
択一	(たくいつ)
択一的	(たくいつてき)
沢	(さわ)
沢庵	(たくあん,たくわん)
沢山	(たくさん)
則	(のり)
則する	(そくする)
則ち	(すなわち,つなわち)
則る	(のっとる)
責め	(せめ)
責めさいなむ	(せめさいなむ)
責めたてる	(せめたてる)
責める	(せめる)
責め苛む	(せめさいなむ)
責め立てる	(せめたてる)
責立てる	(せめたてる)
責任	(せきにん)
責任範囲	(せきにんはんい)
責任分担	(せきにんぶんたん)
責任者	(せきにんしゃ)
責任転嫁	(せきにんてんか)
責務	(せきむ)
嘖む	(さいなむ)
簀垂れ	(すだれ,す)
仄か	(ほのか)
仄めかし	(ほのめかし)
仄めかす	(ほのめかす)
仄めく	(ほのめく)
仄暗い	(ほのぐらい)
仄白い	(ほのじろい)
仄聞	(そくぶん)
仄々	(ほのぼの)
仄仄	(ほのぼの)
賊	(あだ,あた,あたん)
賊軍	(ぞくぐん)
賊名	(ぞくめい)
増える	(ふえる)
増して	(まして)
増す	(ます)
増す増す	(ますます)
増やし	(ふやし)
増やす	(ふやす)
増産	(ぞうさん)
増長	(ぞうちょう)
増大	(ぞうだい)
増訂	(ぞうてい)
増訂版	(ぞうていばん)
増分	(ぞうぶん)
増幅	(ぞうふく)
増幅器	(ぞうふくき)
増化	(ぞうか)
増加	(ぞうか)
増減	(ぞうげん)
増進	(ぞうしん)
増刊	(ぞうかん)
増刊号	(ぞうかんごう)
増強	(ぞうきょう)
増設	(ぞうせつ)
増設率	(ぞうせつりつ)
増収	(ぞうしゅう)
増刷	(ぞうさつ)
増税	(ぞうぜい)
増員	(ぞういん)
増援	(ぞうえん)
増々	(ますます)
増殖	(ぞうしょく)
増殖炉	(ぞうしょくろ)
増築	(ぞうちく)
増資	(ぞうし)
憎い	(にくい,ニクい)
憎しみ	(にくしみ)
憎まれっ子	(にくまれっこ)
憎まれ口	(にくまれぐち)
憎まれ役	(にくまれやく)
憎む	(にくむ)
憎らしい	(にくらしい)
憎悪	(ぞうお)
贈りもの	(おくりもの)
贈り物	(おくりもの)
贈り主	(おくりぬし)
贈る	(おくる)
贈呈	(ぞうてい)
贈答	(ぞうとう)
贈賄	(ぞうわい)
贈収賄	(ぞうしゅうわい)
贈物	(おくりもの)
贈与	(ぞうよ)
贈与証書	(ぞうよしょうしょ)
贈主	(おくりぬし)
囃	(はやし)
囃す	(はやす)
囃子	(はやし)
囃子詞	(はやしことば)
囃子言葉	(はやしことば)
札	(ふだ,ふみた,ふんだ)
