〆切	(しめきり)
かき合わせる	(かきあわせる)
かき回す	(かきまわす)
かき混ぜる	(かきまぜる)
かき集める	(かきあつめる)
カギ括弧	(カギカッコ,かぎかっこ,カギかっこ)
かき立てる	(かきたてる)
かき乱す	(かきみだす)
かき鳴らす	(かきならす)
かき入れ時	(かきいれどき)
カギ穴	(かぎあな)
かぎ穴	(かぎあな)
かき込む	(かきこむ)
かき直す	(かきなおす)
かけがえの無い	(かけがえのない)
かけ布団	(かけぶとん)
かけ合う	(かけあう)
かけ合わせる	(かけあわせる)
かけ回る	(かけまわる)
かけ離れる	(かけはなれる)
かけ上がる	(かけあがる)
かけ声	(かけごえ)
かけ算	(かけざん)
かけ引き	(かけひき)
かけ込む	(かけこむ)
カコウ岩	(かこうがん)
かさ張る	(かさばる)
かじり付く	(かぶりつく,かじりつく)
かじり散らす	(かじりちらす)
かしわ手を打つ	(かしわでをうつ)
カスタム化	(カスタムか)
かずの子	(かずのこ,カズノコ)
かすめ取る	(かすめとる)
ガス欠	(ガスけつ)
ガス栓	(ガスせん)
かぜを引く	(かぜをひく)
かぜ薬	(かぜぐすり,かざぐすり)
かたき討ち	(かたきうち)
かたくり粉	(かたくりこ)
かたずを飲む	(かたずをのむ)
かた苦しい	(かたくるしい,かたぐるしい)
かた目	(かため)
カツオ節	(かつおぶし,かつぶし)
かつお節	(かつおぶし,かつぶし)
かつぎ上げる	(かつぎあげる)
カッコ悪い	(かっこわるい,かっこうわるい)
かっこ悪い	(かっこわるい,かっこうわるい)
